Skill name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On
Adobe After Effects,adobe-after-effects,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c0f3629edc99bde7247cbe,false,false,Mon Dec 20 2021 21:19:30 GMT+0000 (Coordinated Universal Time),Mon Dec 20 2021 21:19:30 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Adobe Flash,adobe-flash,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c0f368ea84df047a044aea,false,false,Mon Dec 20 2021 21:19:36 GMT+0000 (Coordinated Universal Time),Mon Dec 20 2021 21:19:36 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Adobe Fresco,adobe-fresco,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c0f53b51bc7e7dc51b372c,false,false,Mon Dec 20 2021 21:27:23 GMT+0000 (Coordinated Universal Time),Mon Dec 20 2021 21:27:23 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Adobe Illustrator,adobe-illustrator,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c0d8af5a60401f5e508cb2,false,false,Mon Dec 20 2021 19:25:35 GMT+0000 (Coordinated Universal Time),Mon Dec 20 2021 19:25:35 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Adobe Photoshop,adobe-photoshop,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c0f3d62c8a027013beaae0,false,false,Mon Dec 20 2021 21:21:26 GMT+0000 (Coordinated Universal Time),Mon Dec 20 2021 21:21:26 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Adobe XD,adobe-xd,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c0d8a5d07d8c0b52954f85,false,false,Mon Dec 20 2021 19:25:25 GMT+0000 (Coordinated Universal Time),Mon Dec 20 2021 19:25:25 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Android Studio,android-studio,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c18a41dcac3e676bcc4181,false,false,Tue Dec 21 2021 08:03:13 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:03:13 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Android Studo,android-studo,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c18a37b1765f79b22f10f9,false,false,Tue Dec 21 2021 08:03:03 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:03:03 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Arduino,arduino,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c0ebca093e3feb800563af,false,false,Mon Dec 20 2021 20:47:06 GMT+0000 (Coordinated Universal Time),Mon Dec 20 2021 20:47:06 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Bodymovin,bodymovin,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c0f35155c40e6b5da92fa4,false,false,Mon Dec 20 2021 21:19:13 GMT+0000 (Coordinated Universal Time),Mon Dec 20 2021 21:19:13 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
