Tag name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On
3D printing,3d-printing,6121f4b1a2a44757a099147e,653acf41e882f528b3e64bc3,61c186ae1774e252d42578f6,false,false,Tue Dec 21 2021 07:47:58 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 07:47:58 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Affective Computing,affective-computing,6121f4b1a2a44757a099147e,653acf41e882f528b3e64bc3,61c18b42f73f874c9afc6c38,false,false,Tue Dec 21 2021 08:07:30 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:07:30 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Child robot interaction,child-robot-interaction,6121f4b1a2a44757a099147e,653acf41e882f528b3e64bc3,61c0e2ef73a9936f690480ad,false,false,Mon Dec 20 2021 20:09:19 GMT+0000 (Coordinated Universal Time),Mon Dec 20 2021 20:09:19 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Design,design,6121f4b1a2a44757a099147e,653acf41e882f528b3e64bc3,6121f4c62dbb645eabe70b10,false,false,Sun Aug 22 2021 06:55:02 GMT+0000 (Coordinated Universal Time),Sun Aug 22 2021 06:55:02 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Do It Yourself,do-it-yourself,6121f4b1a2a44757a099147e,653acf41e882f528b3e64bc3,61c182b8a4ebdc061515f66b,false,false,Tue Dec 21 2021 07:31:04 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 07:31:04 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Electronics,electronics,6121f4b1a2a44757a099147e,653acf41e882f528b3e64bc3,61c1848de48c2e60984e7557,false,false,Tue Dec 21 2021 07:38:53 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 07:38:53 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Embodied interaction,embodied-interaction,6121f4b1a2a44757a099147e,653acf41e882f528b3e64bc3,61c0dd1d95d9e3c9cba05c5d,false,false,Mon Dec 20 2021 19:44:29 GMT+0000 (Coordinated Universal Time),Mon Dec 20 2021 19:44:29 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Floral art,floral-art,6121f4b1a2a44757a099147e,653acf41e882f528b3e64bc3,61c188eb0870e956190c4228,false,false,Tue Dec 21 2021 07:57:31 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 07:57:31 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Hardware to software,hardware-to-software,6121f4b1a2a44757a099147e,653acf41e882f528b3e64bc3,61c189a7df617d480af9c123,false,false,Tue Dec 21 2021 08:00:39 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:00:39 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Human computer interaction,human-computer-interaction,6121f4b1a2a44757a099147e,653acf41e882f528b3e64bc3,61222db76f858e811ecf1ef0,false,false,Sun Aug 22 2021 10:57:59 GMT+0000 (Coordinated Universal Time),Sun Aug 22 2021 10:57:59 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Machine Learning,machine-learning,6121f4b1a2a44757a099147e,653acf41e882f528b3e64bc3,61c18b4bfe9ca850e7d01e85,false,false,Tue Dec 21 2021 08:07:39 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:07:39 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Object oriented programming,object-oriented-programming,6121f4b1a2a44757a099147e,653acf41e882f528b3e64bc3,61c18a7466dec673ea20842f,false,false,Tue Dec 21 2021 08:04:04 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:04:04 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Programming,programming,6121f4b1a2a44757a099147e,653acf41e882f528b3e64bc3,6121f4d22b094284c21b6ace,false,false,Sun Aug 22 2021 06:55:14 GMT+0000 (Coordinated Universal Time),Sun Aug 22 2021 06:55:14 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Publication,publication,6121f4b1a2a44757a099147e,653acf41e882f528b3e64bc3,61c0e18ae32efb3d5abd8222,false,false,Mon Dec 20 2021 20:03:22 GMT+0000 (Coordinated Universal Time),Mon Dec 20 2021 20:03:22 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Reactive programming,reactive-programming,6121f4b1a2a44757a099147e,653acf41e882f528b3e64bc3,61c18a7895393045dc2ad9f6,false,false,Tue Dec 21 2021 08:04:08 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:04:08 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Research,research,6121f4b1a2a44757a099147e,653acf41e882f528b3e64bc3,6121f4c087950896fab74b8d,false,false,Sun Aug 22 2021 06:54:56 GMT+0000 (Coordinated Universal Time),Sun Aug 22 2021 06:54:56 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Sewing,sewing,6121f4b1a2a44757a099147e,653acf41e882f528b3e64bc3,61c182b0b272b6523803da7e,false,false,Tue Dec 21 2021 07:30:56 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 07:30:56 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Software testing,software-testing,6121f4b1a2a44757a099147e,653acf41e882f528b3e64bc3,61c18a82f24ef90fb5db82c5,false,false,Tue Dec 21 2021 08:04:18 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:04:18 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Upcycling,upcycling,6121f4b1a2a44757a099147e,653acf41e882f528b3e64bc3,61c183da4048f37c9361206e,false,false,Tue Dec 21 2021 07:35:54 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 07:35:54 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
UX Design,ux-design,6121f4b1a2a44757a099147e,653acf41e882f528b3e64bc3,61c1821582856375fd329599,false,false,Tue Dec 21 2021 07:28:21 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 07:28:21 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Video editing,video-editing,6121f4b1a2a44757a099147e,653acf41e882f528b3e64bc3,61c187eb66dec67ce6207231,false,false,Tue Dec 21 2021 07:53:15 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 07:53:15 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
